Year,County,"Attempts/threats to murder, assaults, harassments and related offences",Burglary and related offences,Controlled drug offences,Damage to property and to the environment,"Fraud, deception and related offences",Public order and other social code offences,Theft and related offences,Total
2022,Longford,281.0,78.0,108.0,206.0,122.0,263.0,395.0,1453.0
2022,Louth,823.0,324.0,535.0,742.0,328.0,1151.0,1591.0,5494.0
2022,Mayo,521.0,139.0,124.0,296.0,239.0,557.0,592.0,2468.0
2022,Meath,619.0,405.0,364.0,568.0,367.0,475.0,1849.0,4647.0
2022,Monaghan,379.0,123.0,152.0,238.0,136.0,550.0,312.0,1890.0
2022,Offaly,471.0,198.0,177.0,394.0,168.0,429.0,702.0,2539.0
2022,Roscommon,224.0,77.0,47.0,109.0,112.0,134.0,192.0,895.0
2022,Sligo,291.0,78.0,146.0,201.0,137.0,440.0,455.0,1748.0
2022,Tipperary,661.0,265.0,530.0,470.0,263.0,1083.0,1275.0,4547.0
2022,Waterford,784.0,214.0,942.0,639.0,278.0,1163.0,1585.0,5605.0
2022,Westmeath,530.0,216.0,475.0,351.0,220.0,613.0,1097.0,3502.0
2022,Wexford,754.0,298.0,395.0,645.0,275.0,581.0,1276.0,4224.0
2022,Wicklow,430.0,296.0,393.0,514.0,258.0,402.0,1159.0,3452.0
2023,Carlow,191.0,117.0,212.0,206.0,0.0,315.0,544.0,1585.0
2023,Cavan,463.0,107.0,196.0,252.0,0.0,431.0,596.0,2045.0
2023,Clare,524.0,200.0,163.0,449.0,0.0,397.0,1031.0,2764.0
2023,Cork,2603.0,532.0,1869.0,1916.0,0.0,3231.0,5583.0,15734.0
2023,Donegal,830.0,157.0,332.0,618.0,0.0,1028.0,860.0,3825.0
2023,Dublin,7839.0,3895.0,6594.0,9093.0,0.0,10235.0,37642.0,75298.0
2023,Galway,1175.0,413.0,683.0,787.0,0.0,1443.0,2641.0,7142.0
2023,Kerry,819.0,149.0,475.0,423.0,0.0,1061.0,1251.0,4178.0
2023,Kildare,924.0,450.0,898.0,831.0,0.0,947.0,2724.0,6774.0
2023,Kilkenny,308.0,118.0,243.0,275.0,0.0,603.0,780.0,2327.0
2023,Laois,450.0,157.0,693.0,287.0,0.0,428.0,737.0,2752.0
2023,Leitrim,136.0,47.0,43.0,133.0,0.0,165.0,141.0,665.0
2023,Limerick,1110.0,462.0,770.0,1258.0,0.0,1192.0,3834.0,8626.0
2023,Longford,270.0,93.0,109.0,225.0,0.0,258.0,381.0,1336.0
2023,Louth,782.0,319.0,450.0,851.0,0.0,978.0,2028.0,5408.0
2023,Mayo,517.0,173.0,121.0,332.0,0.0,498.0,648.0,2289.0
2023,Meath,648.0,389.0,411.0,599.0,0.0,505.0,2452.0,5004.0
2023,Monaghan,302.0,124.0,133.0,221.0,0.0,480.0,287.0,1547.0
2023,Offaly,421.0,184.0,194.0,346.0,0.0,362.0,710.0,2217.0
2023,Roscommon,212.0,126.0,50.0,155.0,0.0,149.0,308.0,1000.0
